Facet,Category,Definition,Score_1,Score_5,Few_Shot_Example
Moroseness,Emotion,"A tendency to be sullen, gloomy, and irritable, often accompanied by a lack of enthusiasm or interest.",Very low presence of sullen or gloomy behavior,Extremely high presence of sullen or gloomy behavior,"What's the point of even trying, nothing ever goes right anyway."
Specialist,Linguistic,An individual who exhibits expertise and specialized knowledge in a particular domain or field.,Very low presence of specialized knowledge or expertise,Extremely high presence of specialized knowledge or expertise,"The new quantum computer uses a 512-qubit processor, which significantly enhances its computational capabilities."
Aloofness,Pragmatics,"A tendency to be distant, reserved, or unengaged in social interactions, often accompanied by a lack of emotional expression.",Very low presence of social distance or reserve,Extremely high presence of social distance or reserve,"I'm fine, just leave me alone and don't bother me with small talk."
Genuine,Pragmatics,"A quality of being authentic, sincere, and transparent in one's words and actions.",Very low presence of authenticity or sincerity,Extremely high presence of authenticity or sincerity,"Honestly, I made a mistake and I'm truly sorry for the inconvenience it caused."
Determinedness,Emotion,"A state of being resolute, firm, and unwavering in one's decisions or goals.",Very low presence of resolve or firmness,Extremely high presence of resolve or firmness,"I will not give up, no matter what obstacles I face, I will achieve my goal."
HonestyHumility,Emotion,"A personality trait characterized by sincerity, modesty, and a lack of pretentiousness.",Very low presence of sincerity or modesty,Extremely high presence of sincerity or modesty,"I don't know the answer, but I'll do my best to find out and be honest with you."
Relationship Building Themes,Pragmatics,"Conversational topics or strategies that foster connection, trust, and rapport with others.",Very low presence of relationship-building efforts,Extremely high presence of relationship-building efforts,"How was your weekend, do anything exciting or relaxing?"
Pure Challenge,Linguistic,"A conversational style that focuses on debating, arguing, or competing with others in a purely intellectual or adversarial manner.",Very low presence of competitive or argumentative language,Extremely high presence of competitive or argumentative language,"I disagree with your point, and here's a counterargument that proves my perspective is correct."
Numerical Reasoning Subcomponents,Linguistic,"Cognitive abilities that involve processing and analyzing numerical information, such as math problems or statistical data.",Very low presence of numerical reasoning skills,Extremely high presence of numerical reasoning skills,"If the average cost of a product is $10 and the standard deviation is $2, what is the probability that the cost will exceed $14?"
Openness,Emotion,"A personality trait characterized by curiosity, creativity, and a willingness to explore new ideas and experiences.",Very low presence of curiosity or openness to new experiences,Extremely high presence of curiosity or openness to new experiences,"I've always wanted to try skydiving, it sounds like an exhilarating experience that would push me out of my comfort zone."
SelfEsteem,Emotion,"A person's overall sense of self-worth, confidence, and emotional well-being.",Very low presence of self-confidence or self-worth,Extremely high presence of self-confidence or self-worth,"I'm proud of who I am and what I've accomplished, and I know I can handle any challenge that comes my way."
Comparing alphanumeric data,Linguistic,"The ability to analyze and compare data that includes both letters and numbers, such as codes or serial numbers.",Very low presence of alphanumeric data comparison skills,Extremely high presence of alphanumeric data comparison skills,"The product code 'ABC123' is different from 'ABC456', which indicates a distinct version or model."
Big-heartedness,Emotion,"A quality of being generous, kind, and compassionate towards others, often accompanied by a willingness to help or support those in need.",Very low presence of kindness or generosity,Extremely high presence of kindness or generosity,"I'd be happy to help you move, let me know what time and where you need me to be."
Compulsive activities,Safety,"Behaviors or actions that are repetitive, excessive, and potentially harmful, such as addiction or obsessive habits.",Very low presence of compulsive or excessive behavior,Extremely high presence of compulsive or excessive behavior,"I just can't stop checking my phone, even though I know it's affecting my relationships and mental health."
Disrespect,Pragmatics,Disrespect refers to the presence of rude or impolite language or behavior in dialogue.,Very low presence of rude or impolite language or behavior,Extremely high presence of rude or impolite language or behavior,You're completely wrong and I won't even bother explaining why.
FSH level,Linguistic,"FSH level refers to the frequency of using filler words such as 'like', 'um', or 'you know' in speech.",Very low frequency of filler words,Extremely high frequency of filler words,"So, like, I was thinking, you know, maybe we could, um, try something new."
Self Perspective,Linguistic,Self Perspective refers to the tendency to use first-person pronouns such as 'I' or 'me' in dialogue.,Very low frequency of first-person pronouns,Extremely high frequency of first-person pronouns,"I think, I feel, I believe that I am responsible for my own actions."
Desperation,Emotion,Desperation refers to the presence of urgent or pleading language or tone in dialogue.,Very low presence of urgent or pleading language or tone,Extremely high presence of urgent or pleading language or tone,"Please, you have to help me, I'm begging you, I have no other options."
Affiliation Motivation,Pragmatics,Affiliation Motivation refers to the drive to form and maintain social relationships in dialogue.,Very low drive to form and maintain social relationships,Extremely high drive to form and maintain social relationships,"I'm so glad we're friends, let's hang out more often and support each other."
Anatomy knowledge,Linguistic,Anatomy knowledge refers to the presence of technical terms related to the human body in dialogue.,Very low presence of technical terms related to the human body,Extremely high presence of technical terms related to the human body,"The femur is connected to the pelvis by the hip joint, which is a ball-and-socket joint."
Passive-Aggressive,Pragmatics,Passive-Aggressive refers to the use of indirect or covert expressions of negative feelings in dialogue.,Very low presence of indirect or covert expressions of negative feelings,Extremely high presence of indirect or covert expressions of negative feelings,"Oh, I'm fine, don't worry about me, I can handle it, really."
Presence of Spiritual Pain,Emotion,Presence of Spiritual Pain refers to the expression of emotional distress related to spiritual or existential concerns in dialogue.,Very low presence of emotional distress related to spiritual or existential concerns,Extremely high presence of emotional distress related to spiritual or existential concerns,"I feel so lost and disconnected from my faith, it's like I'm drowning in darkness."
Role of Spirituality in Community Involvement,Pragmatics,Role of Spirituality in Community Involvement refers to the extent to which spiritual beliefs influence participation in community activities in dialogue.,Very low influence of spiritual beliefs on community involvement,Extremely high influence of spiritual beliefs on community involvement,"My faith is what drives me to volunteer and help those in need, it's a calling from God."
Structure,Linguistic,Structure refers to the organization and coherence of language in dialogue.,Very low organization and coherence of language,Extremely high organization and coherence of language,"Firstly, I'd like to introduce the topic, then I'll provide some evidence, and finally, I'll conclude with a summary."
Eco-tourism trips,Linguistic,Eco-tourism trips refers to the discussion of travel experiences related to environmental conservation in dialogue.,Very low presence of discussions about environmental conservation travel,Extremely high presence of discussions about environmental conservation travel,"I just got back from a trip to the Amazon rainforest, where I participated in a conservation project and learned about sustainable tourism."
Chivalrousness,Pragmatics,"Chivalrousness refers to the display of courteous and honorable behavior, especially towards women, in dialogue.",Very low display of courteous and honorable behavior,Extremely high display of courteous and honorable behavior,"May I have the pleasure of holding the door open for you, ma'am?"
Pilgrimage participation count,Linguistic,Pilgrimage participation count refers to the number of times an individual has participated in a spiritual pilgrimage in dialogue.,Very low number of pilgrimage participations,Extremely high number of pilgrimage participations,"I've been on the Camino de Santiago five times, and each time it's been a life-changing experience."
Mindfulness facet: Observing,Emotion,Mindfulness facet: Observing refers to the ability to notice and describe internal experiences without judgment in dialogue.,Very low ability to notice and describe internal experiences without judgment,Extremely high ability to notice and describe internal experiences without judgment,"I notice that I'm feeling anxious right now, and I'm observing the sensation without trying to change it."
Submissiveness,Pragmatics,Submissiveness refers to the tendency to yield or surrender to others in dialogue.,Very low tendency to yield or surrender to others,Extremely high tendency to yield or surrender to others,"Whatever you think is best, I'll just go along with it, I don't want to cause any trouble."
Training-cycle length,Linguistic,The duration or length of a conversational training cycle in a dialogue.,Very short training cycles,Extremely long training cycles,The conversational AI model was trained for 1000 hours to achieve state-of-the-art results.
Sensitiveness,Emotion,The degree to which a speaker is sensitive to the emotions and feelings of others in a conversation.,Very low presence of emotional sensitivity,Extremely high presence of emotional sensitivity,"I can see that you're really upset, and I'm here to listen and support you."
Negative Affect Frequency,Emotion,"The frequency at which negative emotions such as anger, fear, or sadness are expressed in a conversation.",Very low frequency of negative emotions,Extremely high frequency of negative emotions,"I'm so frustrated with this situation, and I feel like I'm at my wit's end."
Innovation and Creativity Components,Linguistic,"The presence of innovative and creative ideas, expressions, or solutions in a conversation.",Very low presence of creative ideas,Extremely high presence of creative ideas,What if we combined artificial intelligence with blockchain technology to create a new platform?
Achievement Motivation,Pragmatics,"The degree to which a speaker is motivated to achieve goals, succeed, or accomplish tasks in a conversation.",Very low motivation to achieve goals,Extremely high motivation to achieve goals,"I'm determined to finish this project by the end of the week, no matter what it takes."
Feedback-giving frequency,Pragmatics,The frequency at which feedback is given or received in a conversation.,Very low frequency of feedback,Extremely high frequency of feedback,"Let me give you some feedback on your presentation, I think you did a great job, but there are a few areas for improvement."
Dance-cardio sessions,Safety,The presence of discussions or references to physical activities such as dance-cardio sessions in a conversation.,Very low presence of physical activity discussions,Extremely high presence of physical activity discussions,I just got back from a dance-cardio session and I'm feeling so energized and refreshed.
Enthusiasm,Emotion,"The degree to which a speaker expresses excitement, eagerness, or enthusiasm in a conversation.",Very low presence of enthusiasm,Extremely high presence of enthusiasm,"I'm so excited to start this new project, I just know it's going to be amazing!"
Psychological construct: Social Desirability tendency,Pragmatics,The degree to which a speaker is inclined to present themselves in a favorable or socially desirable way in a conversation.,Very low presence of social desirability,Extremely high presence of social desirability,"I'm a very honest and trustworthy person, and I always try to do the right thing."
Inattentiveness,Pragmatics,"The degree to which a speaker is distracted, unfocused, or unresponsive in a conversation.",Very low presence of inattentiveness,Extremely high presence of inattentiveness,"Sorry, what was the question again? I zoned out for a second."
Unassertiveness,Pragmatics,"The degree to which a speaker is hesitant, indirect, or unassertive in expressing their thoughts or opinions in a conversation.",Very low presence of unassertiveness,Extremely high presence of unassertiveness,"I don't know if this is a good idea, but maybe we could try...?"
Decision-making decisiveness,Pragmatics,"The degree to which a speaker is able to make quick, confident, and decisive decisions in a conversation.",Very low presence of decisiveness,Extremely high presence of decisiveness,"I've thought about it, and I'm confident that we should go with option A."
Sense-of-coherence score,Linguistic,"The degree to which a speaker's thoughts, ideas, and expressions are coherent, logical, and well-organized in a conversation.",Very low presence of coherence,Extremely high presence of coherence,"Firstly, we need to identify the problem, then we can develop a plan to solve it, and finally, we can implement the solution."
Justice-mindedness,Pragmatics,"The degree to which a speaker is concerned with fairness, justice, and morality in a conversation.",Very low presence of justice-mindedness,Extremely high presence of justice-mindedness,"I think it's unfair that some people have access to better resources than others, we should work to create a more equal society."
Subscription count,Safety,The presence of discussions or references to subscription counts or online followers in a conversation.,Very low presence of subscription discussions,Extremely high presence of subscription discussions,"I just reached 1000 subscribers on my YouTube channel, and I'm so grateful for all the support."
Depression Symptoms,Emotion,"The presence of language that indicates feelings of sadness, hopelessness, or loss of interest in activities.",Very low presence of depressive language or thoughts,Extremely high presence of depressive language or thoughts,"I just can't seem to find the energy to do anything anymore, and I feel like I'm a burden to everyone around me."
Spatial perception,Linguistic,The ability to understand and describe the relationships between objects in space.,Very low ability to understand or describe spatial relationships,Extremely high ability to understand and describe complex spatial relationships,"The bookshelf is to the left of the door, and the chair is diagonally across from it, about three feet away."
Brevity,Linguistic,The tendency to convey meaning in a concise and efficient manner.,"Very low tendency to be concise, with overly verbose language",Extremely high tendency to be concise and to-the-point,I need it done now.
Orderliness,Pragmatics,"The tendency to organize thoughts, actions, or objects in a logical and systematic way.","Very low tendency to organize thoughts or actions, with a high degree of chaos","Extremely high tendency to organize and systematize thoughts, actions, and objects","First, we'll prioritize the tasks, then create a schedule, and finally, we'll allocate resources accordingly."
Multiculturalism,Pragmatics,"The ability to understand, appreciate, and respect cultural differences and nuances.",Very low awareness or appreciation of cultural differences,Extremely high awareness and appreciation of diverse cultural backgrounds and practices,"In many Asian cultures, it's customary to use both hands when giving or receiving something, as using one hand can be seen as impolite."
Creative risk-taking tendency,Emotion,"The willingness to take bold, innovative actions or express unconventional ideas.",Very low willingness to take risks or challenge the status quo,"Extremely high willingness to take bold risks and explore new, untested ideas","Let's scrap the traditional approach and try something entirely new, even if it means we might fail."
Inefficiency,Pragmatics,"The tendency to use more time, resources, or effort than necessary to accomplish a task.",Very low presence of inefficient practices or habits,Extremely high presence of wasteful or redundant actions,"We're redoing the same reports every week, which is taking up a significant amount of time that could be spent on more important tasks."
Network basics,Linguistic,The understanding of fundamental networking concepts and terminology.,Very low understanding of basic networking principles,Extremely high understanding of complex networking concepts and protocols,"The router is the device that connects the local area network to the wide area network, and it uses IP addresses to route traffic."
Alphabetical filing skills,Pragmatics,The ability to organize and maintain files in a systematic and orderly manner.,Very low ability to maintain organized files,Extremely high ability to create and maintain highly organized and easily accessible files,"All documents are filed alphabetically by last name, and then chronologically by date, with clear labels and categorization."
Work Styles,Pragmatics,"The tendency to approach work in a particular way, such as independently or collaboratively.",Very low adaptability to different work styles or environments,"Extremely high ability to adapt to various work styles, teams, and environments",I thrive in collaborative environments where we can share ideas and work together towards a common goal.
Character strength: Perseverance,Emotion,"The ability to persist in the face of challenges or setbacks, and to maintain motivation and effort over time.",Very low ability to cope with obstacles or maintain motivation,Extremely high ability to persevere and overcome adversity,"I've been working on this project for months, and despite the setbacks, I'm more determined than ever to see it through to completion."
Competition,Emotion,"The tendency to compare oneself to others, and to strive to outdo or outperform them.",Very low competitive drive or desire to outdo others,"Extremely high competitive drive, with a strong desire to win or succeed","I'm not just trying to meet the deadline, I'm trying to be the first one to finish and set a new standard for the team."
Logical Sequence Identification,Linguistic,"The ability to recognize and understand the logical order of events, actions, or ideas.",Very low ability to identify or follow logical sequences,Extremely high ability to recognize and analyze complex logical sequences,"First, we need to assemble the parts, then we can test the system, and finally, we can deploy it to the production environment."
Sustainable-transport usage,Pragmatics,The tendency to choose transportation options that minimize environmental impact.,Very low tendency to prioritize sustainable transportation options,Extremely high tendency to choose environmentally friendly transportation methods,"I always try to carpool, use public transport, or bike whenever possible to reduce my carbon footprint."
Hardworking,Pragmatics,"The tendency to be diligent, industrious, and committed to putting in the necessary effort to achieve goals.",Very low willingness to put in effort or work hard,Extremely high willingness to put in extra effort and go above and beyond to achieve success,I'm willing to work late nights and weekends to ensure that the project is completed to the highest standard.
Emotional-intelligence measure: Impulsiveness,Emotion,This facet refers to the tendency to act on impulse without considering consequences in dialogue.,Very low presence of impulsive behavior,Extremely high presence of impulsive behavior,"I just bought a car without even test driving it, I just really wanted it!"
Dishonesty,Safety,This facet refers to the intention or act of deceiving others through false or misleading information in dialogue.,Very low presence of dishonest behavior,Extremely high presence of dishonest behavior,"I totally went to the doctor, that's why I missed work, don't worry about it."
Preferred epistemology,Linguistic,"This facet refers to the underlying beliefs or theories about knowledge and how it is acquired, as expressed in dialogue.",Very low presence of explicit epistemological beliefs,Extremely high presence of explicit epistemological beliefs,I believe that all knowledge comes from empirical evidence and scientific inquiry.
Memory for Sounds,Linguistic,"This facet refers to the ability to recall and recognize sounds, such as music or voices, as demonstrated in dialogue.",Very low ability to recall sounds,Extremely high ability to recall sounds,"I can still remember the exact tune of my childhood lullaby, it's so vivid."
Sportsmanship rating,Pragmatics,"This facet refers to the demonstration of respect, fairness, and graciousness in the face of competition or adversity, as expressed in dialogue.",Very low presence of sportsmanlike behavior,Extremely high presence of sportsmanlike behavior,"Congratulations on winning, you guys played a great game and deserved it."
Immaturity,Emotion,"This facet refers to the lack of emotional stability, responsibility, or wisdom, as demonstrated in dialogue.",Very low presence of immature behavior,Extremely high presence of immature behavior,"I'm not going to clean up my mess, you can do it for me."
Health-literacy level,Linguistic,"This facet refers to the ability to understand and process health-related information, as demonstrated in dialogue.",Very low ability to understand health information,Extremely high ability to understand health information,I've been reading about the importance of probiotics for gut health and I'm considering adding them to my diet.
Estimating Calculations,Linguistic,"This facet refers to the ability to make mathematical estimates or calculations, as demonstrated in dialogue.",Very low ability to make mathematical estimates,Extremely high ability to make mathematical estimates,"If we have 15 people and each person eats about 2 slices of pizza, we'll need around 30 slices for the party."
Depression: Feelings of sadness and hopelessness,Emotion,"This facet refers to the presence of feelings of sadness, hopelessness, or despair, as expressed in dialogue.",Very low presence of depressive feelings,Extremely high presence of depressive feelings,I just feel like nothing is going to get better and I'm stuck in this darkness forever.
Synthesis of information,Linguistic,"This facet refers to the ability to combine and integrate different pieces of information to form a new understanding, as demonstrated in dialogue.",Very low ability to synthesize information,Extremely high ability to synthesize information,"By combining the data from the two studies, we can see that there's a clear correlation between the variables."
Leadership Potential,Pragmatics,"This facet refers to the demonstration of skills, traits, or behaviors that are associated with effective leadership, as expressed in dialogue.",Very low presence of leadership potential,Extremely high presence of leadership potential,"I think we should work together to come up with a plan, and then I can help coordinate the efforts to make it happen."
Ethical standards,Safety,"This facet refers to the adherence to moral principles or values, such as honesty, fairness, or respect, as demonstrated in dialogue.",Very low presence of ethical behavior,Extremely high presence of ethical behavior,"I wouldn't feel right taking credit for someone else's work, that's not fair to them."
High-spiritedness,Emotion,"This facet refers to the presence of enthusiasm, energy, or excitement, as expressed in dialogue.",Very low presence of high-spirited behavior,Extremely high presence of high-spirited behavior,"Oh my gosh, I'm so excited for the concert tonight, I've been waiting for months!"
Critical reasoning,Linguistic,"This facet refers to the ability to analyze information, evaluate evidence, and form logical conclusions, as demonstrated in dialogue.",Very low ability to reason critically,Extremely high ability to reason critically,"While the study suggests a correlation, we need to consider other factors that could be influencing the results before drawing any conclusions."
Sleep-disorder diagnosis,Safety,"This facet refers to the presence of symptoms or behaviors that may indicate a sleep disorder, as expressed in dialogue.",Very low presence of sleep disorder symptoms,Extremely high presence of sleep disorder symptoms,"I've been having trouble falling asleep and staying asleep for weeks, and I'm constantly feeling tired during the day."
Listening Skills Subcomponents,Linguistic,The ability to attentively and accurately process verbal information in a conversation.,Very low presence of active listening skills,Extremely high presence of active listening skills,I'm completely absorbed in what you're saying and will summarize it to ensure understanding.
Collaboration,Pragmatics,The willingness and ability to work together with others towards a common goal.,Very low willingness to cooperate with others,Extremely high willingness to cooperate with others,Let's combine our expertise to achieve a better outcome for everyone involved.
Precision of Movements,Pragmatics,The ability to perform physical actions with accuracy and finesse.,Very low level of dexterity and coordination,Extremely high level of dexterity and coordination,I can precisely assemble complex machinery with ease and speed.
Social Boldness,Emotion,The confidence and willingness to express oneself in social situations.,Very low level of confidence in social interactions,Extremely high level of confidence in social interactions,I fearlessly speak my mind and assert myself in any social setting.
Auditory memory,Linguistic,The ability to recall and process verbal information heard previously.,Very low ability to remember verbal information,Extremely high ability to remember verbal information,I can recall entire conversations and lectures with perfect clarity.
Psychomotor Ability Subcomponents,Pragmatics,The combination of physical and cognitive skills that enable coordinated movements.,Very low level of physical and cognitive coordination,Extremely high level of physical and cognitive coordination,I can perform complex physical tasks that require both strength and mental focus with ease.
Organized lifestyle,Pragmatics,"The ability to plan, prioritize, and manage one's daily activities and tasks effectively.",Very low level of organization and time management,Extremely high level of organization and time management,"I prioritize my tasks and manage my time with precision, ensuring maximum productivity."
Skill-endorsements count,Linguistic,The number of skills or abilities that an individual is recognized for by others.,Very few recognized skills or abilities,Extremely high number of recognized skills or abilities,I've received numerous awards and recognition for my exceptional skills in multiple areas.
Mysteriousness,Emotion,"The quality of being enigmatic, intriguing, and difficult to fully understand.",Very low level of intrigue or enigma,Extremely high level of intrigue or enigma,"My thoughts and intentions are always shrouded in an air of mystery, leaving others curious."
Cultural Identity,Pragmatics,The sense of belonging and connection to a particular cultural group or heritage.,Very low sense of cultural connection or identity,Extremely high sense of cultural connection or identity,"I proudly embrace and celebrate my cultural heritage, and it deeply influences my worldview."
Intrinsic Motivation,Emotion,"The drive to engage in activities for personal satisfaction and enjoyment, rather than external rewards.",Very low level of self-motivation and personal drive,Extremely high level of self-motivation and personal drive,"I'm passionate about learning and self-improvement, and I pursue my interests with relentless enthusiasm."
Impartial-mindedness,Pragmatics,"The ability to remain neutral, unbiased, and fair in one's judgments and decisions.",Very low level of objectivity and fairness,Extremely high level of objectivity and fairness,I strive to consider all perspectives and make decisions based solely on evidence and reason.
Burnout Symptoms,Safety,"The physical, emotional, and mental exhaustion caused by prolonged stress and overwork.",Very low level of burnout or exhaustion,Extremely high level of burnout or exhaustion,"I'm completely depleted, both physically and mentally, from chronic overwork and lack of self-care."
Holiness,Emotion,"The quality of being morally and spiritually pure, and adhering to a higher power or principles.",Very low level of spiritual or moral purity,Extremely high level of spiritual or moral purity,"I strive to embody the highest moral and spiritual principles, guiding my actions with compassion and wisdom."
Selfcontrol,Emotion,"The ability to regulate one's thoughts, feelings, and behaviors, and to act in accordance with one's values.",Very low level of self-regulation and self-awareness,Extremely high level of self-regulation and self-awareness,"I'm able to recognize and manage my emotions, thoughts, and impulses, making choices that align with my values and goals."
SelfDirectedness,Linguistic,The ability to guide and motivate oneself in conversation without external influence.,Very low presence of self-motivation and independence in dialogue.,Extremely high presence of self-motivation and independence in dialogue.,I will take the lead on this project and ensure its completion.
Encouraging participation,Pragmatics,The act of creating an environment where all individuals feel comfortable contributing to the conversation.,Very low effort to include others in the conversation.,Extremely high effort to include others in the conversation.,"What are your thoughts on this matter, let's hear from everyone?"
Impracticalness,Linguistic,The tendency to propose or discuss ideas that are not feasible or realistic in the given context.,Very few impractical suggestions or ideas presented.,Extremely high number of impractical suggestions or ideas presented.,We should just build a colony on Mars to solve our housing problems.
Meeting Deadlines,Pragmatics,The ability to complete tasks and respond within the allotted time frame in a conversation.,Consistently fails to meet deadlines or respond in a timely manner.,Always meets deadlines and responds promptly.,"I've completed the task ahead of schedule, let me share the results."
Data Analysis,Linguistic,"The ability to collect, organize, and interpret data to inform decisions in a conversation.",Very little use of data or analysis to support arguments.,Extensive use of data and analysis to support arguments.,"According to our research, this approach has been shown to increase efficiency by 30%."
Social Interaction Skills,Pragmatics,"The ability to effectively engage, communicate, and interact with others in a conversation.",Struggles to engage with others or communicate effectively.,"Excels at engaging with others, communicating effectively, and building strong relationships.","That's a great point, can you tell me more about what led you to that conclusion?"
Psychoticism,Emotion,The tendency to exhibit unstable or erratic emotional responses in conversation.,Very low presence of unstable or erratic emotional responses.,Extremely high presence of unstable or erratic emotional responses.,"One minute everything is fine, the next you're yelling at me for no reason."
Ethical leadership rating,Pragmatics,The demonstration of moral principles and values that guide decision-making and behavior in conversation.,Very low adherence to ethical principles and values.,Extremely high adherence to ethical principles and values.,"As a leader, I believe it's essential to prioritize transparency and fairness in all our dealings."
Slothfulness,Emotion,The tendency to exhibit laziness or a lack of motivation in conversation.,Very low presence of laziness or lack of motivation.,Extremely high presence of laziness or lack of motivation.,"I don't feel like doing anything today, can't it just wait?"
Happiness,Emotion,"The expression of positive emotions such as joy, contentment, or satisfaction in conversation.",Very low expression of positive emotions.,Extremely high expression of positive emotions.,"I'm so thrilled about the opportunity to work on this project, it's a dream come true."
Contentment Levels,Emotion,The degree to which an individual expresses satisfaction or fulfillment in conversation.,Very low levels of expressed satisfaction or fulfillment.,Extremely high levels of expressed satisfaction or fulfillment.,"I feel like I've found my perfect balance in life, I'm truly content."
Neuroticism,Emotion,"The tendency to experience negative emotions such as anxiety, anger, or sadness in conversation.",Very low presence of negative emotional responses.,Extremely high presence of negative emotional responses.,"I'm so anxious about this deadline, I just know I'm going to fail."
Desire for excellence,Linguistic,The drive to achieve high standards and strive for perfection in conversation.,Very low drive to achieve high standards or strive for perfection.,Extremely high drive to achieve high standards and strive for perfection.,"I won't settle for anything less than the best, let's keep working until we get it just right."
Perceiving,Linguistic,"The ability to notice, understand, and interpret the world and the people in it through conversation.",Very low ability to notice and understand the perspectives of others.,Extremely high ability to notice and understand the perspectives of others.,"I can see why you'd think that, it makes sense from your perspective."
Liberalism,Pragmatics,"The tendency to support individual freedom, social justice, and progressive ideals in conversation.","Very low support for individual freedom, social justice, or progressive ideals.","Extremely high support for individual freedom, social justice, and progressive ideals.","I believe everyone deserves equal rights and opportunities, regardless of their background."
Inversion comfort level,Linguistic,The ease with which a speaker uses inverted sentence structures in dialogue.,Very low presence of inverted sentence structures,Extremely high presence of inverted sentence structures,"Never have I seen such a beautiful sunset, which was truly breathtaking."
Affection,Emotion,"The degree to which a speaker expresses warmth, tenderness, or fondness towards others in dialogue.",Very low expression of affectionate feelings,Extremely high expression of affectionate feelings,"I love you so much, you are the best thing that has ever happened to me."
Numeric Filing Skills,Pragmatics,The ability to organize and manage numerical data in a logical and efficient manner in dialogue.,Very low ability to organize numerical data,Extremely high ability to organize numerical data,Let me just pull up the spreadsheet and I can give you the exact numbers for the quarterly report.
Martyrdom,Emotion,"The tendency to sacrifice one's own needs or desires for the benefit of others, often to the point of self-denial or suffering.",Very low tendency to prioritize others' needs over one's own,Extremely high tendency to prioritize others' needs over one's own,"I don't mind giving up my weekend to help you move, it's the least I can do."
Parathyroid-hormone level,Safety,"The level of parathyroid hormone in the blood, which is crucial for maintaining healthy bone and calcium levels.","Very low parathyroid hormone level, potentially indicating a health risk","Extremely high parathyroid hormone level, potentially indicating a health risk",My doctor says I need to get my parathyroid hormone levels checked to rule out any potential health issues.
